tag,categoria,processos_origem,descricao,quantidade_eventos,porcentagem_total
AHAL_StreamAlsaMonoPipe,Outros / Serviços Gerais do SO,android.hardware.audio.service,Eventos não categorizados em nenhuma categoria anterior.,15,0.03%
PackageWatchdog,Subssistema Automotivo (AAOS),system_server,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",15,0.03%
WifiConfigManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,15,0.03%
WifiP2pService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,15,0.03%
LockSettingsService,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",15,0.03%
uc_send_user_broadcast,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",15,0.03%
CarOccupantZoneService,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",15,0.03%
PerDisplayInstanceRepo,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,15,0.03%
DSM-I-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,15,0.03%
LegacyCellBroadcastContentProvider,Outros / Serviços Gerais do SO,com.android.cellbroadcastreceiver,Eventos não categorizados em nenhuma categoria anterior.,15,0.03%
TelephonyAnalyticsSubId,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,15,0.03%
CAR.ScreenOffHandler,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",15,0.03%
CAR.AM,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",15,0.03%
Checkpoint,Outros / Serviços Gerais do SO,vold,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
android.hardware.uwb,Outros / Serviços Gerais do SO,pid:700,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
AHAL_ModuleBluetooth,Outros / Serviços Gerais do SO,android.hardware.audio.service,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
CompatibilityRules,Outros / Serviços Gerais do SO,zygote64,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
SdkSandboxManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
NetworkStats,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
BluetoothAdapterState,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
NtnCapabilityResolver,Rede e Conexões,com.android.phone,"Roteamento de rede (netd), DNS (resolv), regras de iptables e conexões de depuração (adbd).",14,0.03%
VvmSimStateTracker,Subssistema Automotivo (AAOS),com.android.phone,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",14,0.03%
MediaSessionService,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",14,0.03%
bt_stack_manager,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
bt_btif_core,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
gatt_api,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
bt_btif_sdp_server,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
carui,Subssistema Automotivo (AAOS),"com.android.permissioncontroller (14.3%), com.android.managedprovisioning (14.3%), com.android.systemui (7.1%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",14,0.03%
PickerSyncController,Outros / Serviços Gerais do SO,com.android.providers.media.module,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
DockAdapter,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
ExternalStorage,Outros / Serviços Gerais do SO,com.android.externalstorage,Eventos não categorizados em nenhuma categoria anterior.,14,0.03%
usbcore,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
AudioSystem,Outros / Serviços Gerais do SO,"system_server (30.8%), audioserver (23.1%), com.android.car (15.4%)",Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
CameraProviderManager,Outros / Serviços Gerais do SO,pid:758,Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
OomAdjuster,Outros / Serviços Gerais do SO,system_server,Ajuste de prioridades e estados de ciclo de vida dos processos na RAM,13,0.03%
PermissionMonitor,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",13,0.03%
volume_changed,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
TransitionChain,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
droid.bluetooth,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
ActivityThread,Outros / Serviços Gerais do SO,"com.android.car.settings (30.8%), com.android.providers.media.module (30.8%), com.android.systemui (23.1%)",Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
notification_cancel_all,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
NRM-I-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
SatelliteModemInterface,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
SimultaneousCallingTracker,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
WM-WorkerWrapper,Outros / Serviços Gerais do SO,com.android.providers.media.module,Eventos não categorizados em nenhuma categoria anterior.,13,0.03%
audit,Auditoria e SELinux,servicemanager,"Daemon de auditoria do kernel (auditd), checagem de AVC denials e políticas SELinux.",12,0.03%
evsmanagerd,Outros / Serviços Gerais do SO,pid:629,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
AHAL_ModuleRemoteSubmix,Outros / Serviços Gerais do SO,android.hardware.audio.service,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
StreamConfigurationMap,Outros / Serviços Gerais do SO,pid:714,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
EmulatedCameraDeviceInfo,Outros / Serviços Gerais do SO,pid:714,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
SLog,Outros / Serviços Gerais do SO,"system_server (16.7%), com.android.car (16.7%), com.android.systemui (16.7%)",Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
LocationManagerService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
TetheringManager,Outros / Serviços Gerais do SO,"com.android.bluetooth (41.7%), system_server (25.0%), com.android.systemui (16.7%)",Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
BiometricStateCallback,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",12,0.03%
StatsPullAtomService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
isAtLeastRelease,Outros / Serviços Gerais do SO,mediaswcodec,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
C2SoftVpxEnc,Outros / Serviços Gerais do SO,mediaswcodec,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
car_service_on_user_lifecycle,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",12,0.03%
Looper,Outros / Serviços Gerais do SO,"system_server (66.7%), com.android.systemui (33.3%)",Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
CorePackageUpdate,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
ShellTaskOrganizer,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
KeyguardViewMediator,Gestão de Usuários e Acesso,com.android.systemui,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",12,0.03%
WM-ForceStopRunnable,Outros / Serviços Gerais do SO,"com.android.providers.media.module (33.3%), com.android.statementservice (33.3%), com.android.devicelockcontroller (16.7%)",Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
AppHibernationService,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",12,0.03%
HibernationPolicy,Outros / Serviços Gerais do SO,com.android.permissioncontroller,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
CarrierDefaultBroadcastReceiver,Subssistema Automotivo (AAOS),com.android.carrierdefaultapp,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",12,0.03%
WM-Processor,Outros / Serviços Gerais do SO,com.android.providers.media.module,Eventos não categorizados em nenhuma categoria anterior.,12,0.03%
PCI,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
erofs,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
logd,Outros / Serviços Gerais do SO,"servicemanager (90.9%), auditd (9.1%)",Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
hw-ProcessState,Outros / Serviços Gerais do SO,"vold (9.1%), servicemanager (9.1%), pid:654 (9.1%)",Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
odsign,Outros / Serviços Gerais do SO,pid:618,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
android.hardware.graphics.allocator-service.minigbm,Outros / Serviços Gerais do SO,pid:710,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
SensorService,Outros / Serviços Gerais do SO,system_server,Gerenciamento e distribuição de eventos de sensores físicos,11,0.02%
InsetsController,Outros / Serviços Gerais do SO,"system_server (36.4%), com.android.systemui (36.4%), android.car.cluster (18.2%)",Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
ContextHubService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
FingerprintVirtualHal,Outros / Serviços Gerais do SO,VirtualHalConfig,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
DisplayPowerController[0],Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
DisplayPowerController[2],Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
DisplayPowerController[3],Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
DeviceLockService,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",11,0.02%
CAR.InitTiming,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",11,0.02%
ExplicitHealthCheckController,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
WindowTokenClientController,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
PhoneFactory,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
TelephonyCountryDetector,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
OverlayViewGlobalStateController,Subssistema Automotivo (AAOS),com.android.systemui,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",11,0.02%
TaskPersister,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
CarProvision,Subssistema Automotivo (AAOS),com.android.car.provision,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",11,0.02%
CAM_Profiler,Outros / Serviços Gerais do SO,com.android.camera2,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
FrameTracker,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,11,0.02%
hwservicemanager,Outros / Serviços Gerais do SO,hwservicemanager,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
rcu,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
device-mapper,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
incfs,Outros / Serviços Gerais do SO,"vold (50.0%), system_server (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
odrefresh,Outros / Serviços Gerais do SO,"pid:619 (40.0%), pid:620 (40.0%), pid:618 (20.0%)",Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
android.hardware.automotive.evs-aidl-default-service,Outros / Serviços Gerais do SO,pid:628,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
RanchuHwc,Outros / Serviços Gerais do SO,pid:684,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
BatteryStatsImpl,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
android.hardware.power-service.example,Outros / Serviços Gerais do SO,pid:691,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
LogicalDisplayMapper,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
OverlayManager,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
TransparencyService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
InputMethodManagerService,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",10,0.02%
WifiCountryCode,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
stream_devices_changed,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
ComputerControlAllowlistController,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
ALSProbe,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
AutofillManagerService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
BrightnessThermalClamper,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
WifiSettingsConfigStore,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
GameManagerService,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",10,0.02%
ApConfigUtil,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
CarUxRManager,Subssistema Automotivo (AAOS),"com.android.systemui (60.0%), com.android.car.settings (30.0%), com.android.car.carlauncher (10.0%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",10,0.02%
SSCtr-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
DRM-0,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
bt_btif_sock,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
UsageStatsService,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",10,0.02%
extservices,Outros / Serviços Gerais do SO,android.ext.services,Eventos não categorizados em nenhuma categoria anterior.,10,0.02%
NET,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
vdc,Criptografia e Chaves,servicemanager,"Keystore2, KeyMint, File-Based Encryption (FBE) e montagem de storage (vold).",9,0.02%
C2Store,Outros / Serviços Gerais do SO,"mediaswcodec (55.6%), system_server (22.2%), com.android.systemui (22.2%)",Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
DisplayDeviceRepository,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",9,0.02%
UserManagerService,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",9,0.02%
SettingsProvider,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",9,0.02%
InputManager-JNI,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
ConnectivityModuleConnector,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
InternalCleanupClient,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",9,0.02%
am_uid_stopped,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
AGnssAidl,Outros / Serviços Gerais do SO,pid:683,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
ParceledListSlice,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
RoleService,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
CarStorageMonitoringService,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",9,0.02%
Codec2-ComponentInterface,Outros / Serviços Gerais do SO,mediaswcodec,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
SimpleC2Component,Outros / Serviços Gerais do SO,mediaswcodec,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
notification_enqueue,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
car_user_svc_notify_app_lifecycle_listener,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",9,0.02%
car_user_mgr_notify_lifecycle_listener,Subssistema Automotivo (AAOS),"com.android.systemui (88.9%), com.android.car.carlauncher (11.1%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",9,0.02%
input_focus,Subssistema Automotivo (AAOS),"system_server (77.8%), com.google.android.car.kitchensink (11.1%), android.car.cluster (11.1%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",9,0.02%
AutofillUI,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
KeyguardTransitionRepository,Gestão de Usuários e Acesso,com.android.systemui,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",9,0.02%
CAR.PropertyHalServiceConfigs,Subssistema Automotivo (AAOS),com.android.car,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",9,0.02%
KeyguardTransitionCoreStartable,Gestão de Usuários e Acesso,com.android.systemui,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",9,0.02%
DefaultCarrierConfigService,Subssistema Automotivo (AAOS),com.android.carrierconfig,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",9,0.02%
BluetoothMetricsLogger,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
bt_osi_thread,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
stack_app,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
bt_port_api,Auditoria e SELinux,com.android.bluetooth,"Daemon de auditoria do kernel (auditd), checagem de AVC denials e políticas SELinux.",9,0.02%
AutofillManager,Outros / Serviços Gerais do SO,"com.android.systemui (77.8%), com.android.car.mapsplaceholder (11.1%), android.car.cluster (11.1%)",Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
UwbCountryCode,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
AlarmClock,Outros / Serviços Gerais do SO,com.android.deskclock,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
HealthConnectAlter,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
MediaSource,Subssistema Automotivo (AAOS),"com.android.car.carlauncher (55.6%), com.android.car.media (44.4%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",9,0.02%
MessagingApp,Outros / Serviços Gerais do SO,com.android.messaging,Eventos não categorizados em nenhuma categoria anterior.,9,0.02%
lowmemorykiller,Integridade e Estabilidade,lowmemorykiller,Monitor de pressão de memória do kernel (PSI) para descarte preventivo de processos,8,0.02%
pci_bus 0000,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
input,Gestão de Usuários e Acesso,servicemanager,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",8,0.02%
ueventd,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
android.hardware.automotive.vehicle@V4-cf-service,Subssistema Automotivo (AAOS),"pid:492 (87.5%), pid:461 (12.5%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",8,0.02%
F2FS-fs (dm-17),Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
wpa_supplicant,Outros / Serviços Gerais do SO,pid:491,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
FactoryHal,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
CameraService,Outros / Serviços Gerais do SO,pid:758,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
EmulatedCameraDeviceHwlImpl,Outros / Serviços Gerais do SO,pid:714,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
libbinder.IPCThreadState,Outros / Serviços Gerais do SO,"pid:856 (37.5%), system_server (25.0%), pid:421 (12.5%)",Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
Resources,Outros / Serviços Gerais do SO,zygote64,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
ModemPowerProfile,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
DesktopExperienceFlags,Outros / Serviços Gerais do SO,"system_server (12.5%), com.android.systemui (12.5%), com.android.car.provision (12.5%)",Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
SettingsState,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",8,0.02%
AudioPolicyInterfaceImpl,Outros / Serviços Gerais do SO,audioserver,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
BiometricSchedulerOperation,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",8,0.02%
MediaCodecListGenerator,Outros / Serviços Gerais do SO,"pid:2987 (50.0%), pid:3918 (50.0%)",Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
ZygoteProcess,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
SplitController,Outros / Serviços Gerais do SO,com.android.car.settings,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
DisplayManager,Outros / Serviços Gerais do SO,"com.android.car.settings (12.5%), com.android.systemui (12.5%), com.google.android.car.kitchensink (12.5%)",Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
CarrierIdProvider,Subssistema Automotivo (AAOS),com.android.phone,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",8,0.02%
DeviceLockControllerConnectorImpl,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
PhoneGlobals,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
SystemUIOverlayWM,Subssistema Automotivo (AAOS),com.android.systemui,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",8,0.02%
UsimFH,Outros / Serviços Gerais do SO,com.android.phone,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
device_iot_config,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
bt_shim_scanner,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
PrivacyChip,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
BluetoothSocketManagerBinder,Outros / Serviços Gerais do SO,com.android.bluetooth,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
CarHeadsUpNotificationManager,Subssistema Automotivo (AAOS),com.android.systemui,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",8,0.02%
StorageUserConnection,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",8,0.02%
AppSearchUserInstanceMa,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",8,0.02%
TranscodeHelper,Outros / Serviços Gerais do SO,com.android.providers.media.module,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
AutofillManagerServiceImpl,Gestão de Usuários e Acesso,system_server,"Perfis de usuário (motorista/passageiro), permissões de apps e contas.",8,0.02%
CarMediaManagerHelper,Subssistema Automotivo (AAOS),"com.android.car.carlauncher (50.0%), com.android.car.media (50.0%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",8,0.02%
StorageManager,Outros / Serviços Gerais do SO,com.android.providers.media.module,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
surfaceview_callback,Subssistema Automotivo (AAOS),"com.android.car.carlauncher (62.5%), android.car.cluster (37.5%)","Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",8,0.02%
CarrierActionUtils,Subssistema Automotivo (AAOS),com.android.carrierdefaultapp,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",8,0.02%
DockViewModel,Outros / Serviços Gerais do SO,com.android.systemui,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
ContactsProvider,Outros / Serviços Gerais do SO,android.process.acore,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
BootReceiver,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
Cluster.Service,Subssistema Automotivo (AAOS),android.car.cluster,"Barramentos veiculares, HVAC, CarService, Vehicle HAL (VHAL), Cluster e telemetria.",8,0.02%
SntpClient,Outros / Serviços Gerais do SO,system_server,Eventos não categorizados em nenhuma categoria anterior.,8,0.02%
clocksource,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,7,0.02%
CPU topo,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,7,0.02%
aconfigd_rust,Outros / Serviços Gerais do SO,servicemanager,Eventos não categorizados em nenhuma categoria anterior.,7,0.02%
